ID,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,eigenvector
\src\model\codebase::Node,1,0,0.34782608695652173,0.05963302752293578,0.013761467889908258,1,0.7391304347826086,0.2337228501691073,0.3593487551045154
\src\model\codebase::Codebase,0.5483870967741936,0,0.30434782608695654,0.0045871559633027525,0.013761467889908258,0,0,0.0019494841283031919,2.4687641812691463e-7
\src\model\codebase::Node.constructor,0.4838709677419355,0.021739130434782608,0,0.06880733944954129,0,0,0.6326530612244898,0.6148360551404302,1
\src\model\codebase::Codebase.constructor,0.4193548387096774,0.021739130434782608,0,0.05963302752293578,0,0,1,0.22168988802100373,0.000005678085925496416
\src\tools\function_tools::getUserToolsAndPrompt,0.32258064516129037,0,0.06521739130434782,0,0.03669724770642202,0,0,0,0
\src\communities\centrality::df,0.2903225806451613,,,0.013761467889908258,0.03211009174311927,0.17414673474872347,0.6666666666666666,0.10725819903049921,0.0000012343771463985304
\src\communities\centrality::G,0.25806451612903225,,,0.027522935779816515,0.013761467889908258,0.2934694974469229,0.5,0.29016629167627905,0.00000616982810575952
\src\model\codebase::Codebase.generateNodesFromFilePath,0.25806451612903225,0.021739130434782608,0,0.0045871559633027525,0.03211009174311927,0.01934963719430261,1,0.0066839455827538,4.937528362538293e-7
\src\model\calls::CallsCapturer,0.22580645161290322,0,0.08695652173913043,0.0045871559633027525,0.013761467889908258,0,0,0.00511945823518771,2.4687641812691463e-7
\src\model\codebase::ImportName,0.22580645161290322,0,0.021739130434782608,0.022935779816513763,0.009174311926605505,0.305563020693362,0.4473684210526316,0.18469261363633152,0.3875405668274797
