Node,degree,indegree_files_defines,outdegree_files_defines,indegree_files_calls,outdegree_files_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\lib\db\index::sql,0.7142857142857144,,,,,,1.0,1.0,7.156799144512767e-17,1.0,1.0,4.714285714285714
\lib\utils::getAuthorization,0.6571428571428573,,,,,,0.923076923076923,0.7841836000073397,7.156799144512767e-17,0.8761026776034344,0.9230769230769228,4.163582980907477
\lib\ip::getIp,0.4000000000000001,,,,,,0.5769230769230769,0.5455589430357042,7.156799144512767e-17,0.7558049884613224,0.5769230769230771,2.8552100853431805
\lib\utils::sendError,0.2571428571428572,,,,,,0.3846153846153846,0.41744664057925157,7.156799144512767e-17,0.22598061261315053,0.3846153846153906,1.6698008795660344
\lib\mixpanel\providers::getModelProvider,0.20000000000000004,,,,,,0.30769230769230765,0.32892724652545313,7.156799144512767e-17,0.4776508567296332,0.3076923076923122,1.6219627186397063
\lib\consts::freePlanId,0.2285714285714286,,,,,,0.34615384615384615,0.15752631417453905,7.156799144512767e-17,0.5213471424368611,0.34615384615385136,1.5997525774905264
\lib\env::getEnv,0.2285714285714286,,,,,,0.34615384615384615,0.44813143678673906,7.156799144512767e-17,0.2095902285989289,0.34615384615385136,1.578600786264794
\lib\bugsnag::reportError,0.2285714285714286,,,,,,0.34615384615384615,0.26610556591996304,7.156799144512767e-17,0.38577405652022306,0.34615384615385136,1.5727587433193124
\lib\chat\streaming::createResponse,0.20000000000000004,,,,,,0.30769230769230765,0.22153045979924754,7.156799144512767e-17,0.4777195775091465,0.3076923076923122,1.5146346526930141
\services\db\mixpanel::getOwnerInfoByAgentId,0.20000000000000004,,,,,,0.30769230769230765,0.22153045979924754,7.156799144512767e-17,0.4777195775091467,0.3076923076923122,1.5146346526930141
\lib\chat\tools-knowledge::getToolsKnowledge,0.20000000000000004,,,,,,0.30769230769230765,0.14993260198177707,7.156799144512767e-17,0.478011996745292,0.3076923076923122,1.4433292141116891
\routes\documents,0.6285714285714286,,,,,,0.0,0.0,0.7774824176484096,8.918094274200855e-17,0.0,1.4060538462198382
\routes\chat\playground,0.3428571428571429,,,,,,0.0,0.0,1.0,1.239469111082535e-16,0.0,1.3428571428571432
\routes\chat\index,0.3428571428571429,,,,,,0.0,0.0,0.9748620352147277,1.012392215290744e-16,0.0,1.3177191780718707
\server,1.0,,,,,,0.0,0.0,0.30006093155275504,1.3162396818624672e-16,0.0,1.3000609315527554
\routes\chat\marketplace\agents,0.3428571428571429,,,,,,0.0,0.0,0.9417636932682317,1.1719122113499896e-16,0.0,1.2846208361253748
\services\supabase\organizations::updateOrganizationsInteractions,0.17142857142857146,,,,,,0.2692307692307692,0.14366778942274838,7.156799144512767e-17,0.42598838314298365,0.26923076923077305,1.2795462824558457
