Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\lib\db\index::sql,1.0,,,1.0,0.029411764705882353,0.06148533545094187,0.6021812413246084,0.048786510604182404,0.04293200707934226,1.0,4.543773876575552e-10,3.784796859619335
\services\supabase\index::supabase,0.9024390243902438,,,0.8780487804878049,0.058823529411764705,0.18389585056361554,0.5650484097629948,0.09035273722862908,0.04588407538068695,0.08296728177794502,4.543773876575552e-10,2.807459689458062
\server::app,0.8292682926829269,,,0.024390243902439025,1.0,0.27757366872386613,0.014475510608764624,0.003108286523461776,6.357783978445753e-16,1.3422386274025332e-16,0.0,2.148816002441459
\lib\env::getEnv,0.7804878048780488,,,0.7804878048780488,0.029411764705882353,0.14590410791895533,1.0,0.16925048135508045,5.476015282835879e-17,0.26037662152789887,1.8175095506302208e-09,3.1659185870814244
\lib\utils::getAuthorization,0.5853658536585366,,,0.5609756097560975,0.058823529411764705,0.0452737679043913,0.32311407608849607,0.013939706728146711,0.057403758357215035,0.6230913845353372,0.0,2.2679876864399855
\lib\chat\streaming::createResponse,0.5853658536585366,,,0.21951219512195122,0.47058823529411764,1.0,0.13399126486574434,0.0026255765954398946,0.11067096519846918,0.47118108245445856,0.0,2.993935173188717
\routes\documents::documents,0.5365853658536585,,,0.024390243902439025,0.6470588235294117,0.034720588377653544,0.019300680811686163,0.00016914400508388197,0.6961215413400451,2.1433815642031062e-16,0.0,1.9583463878199783
\routes\chat\lib\openai::openAICompletion,0.5365853658536585,0.0,0.5,0.04878048780487805,0.5882352941176471,0.12129020353425353,0.033086881391462,0.0005781520876997342,0.4163222455287315,0.07262141216403016,0.0,2.317500042482361
\lib\chat\tools-knowledge::getToolsKnowledge,0.46341463414634143,,,0.21951219512195122,0.32352941176470584,0.3460280011993924,0.13399126486574434,0.0026255765954398946,0.28534836853129175,0.4711810824544584,0.0,2.245630534679325
\lib\ip::getIp,0.41463414634146345,,,0.43902439024390244,0.0,0.0,0.24347808843942095,0.0074668134356325805,5.2783518551205504e-17,0.7053693990227666,4.543773876575552e-10,1.8099728379375635
\routes\chat\freeplan::freePlanCompletion,0.36585365853658536,,,0.024390243902439025,0.4411764705882353,0.05788762898293125,0.019300680811686163,0.00016914400508388197,0.6944192802581703,2.763975184666193e-16,0.0,1.6031971070851314
\types\supabase::Database,0.36585365853658536,,,0.3414634146341463,0.058823529411764705,0.09133834398178504,0.5475252224806061,0.13299563068029946,0.003012956785840009,0.017903881581944288,0.001963684374959096,1.5608803224679302
\routes\chat\share::chatShare,0.31707317073170727,,,0.024390243902439025,0.3823529411764706,0.027331648472586963,0.019300680811686163,0.00016914400508388197,0.8549280808408501,2.5292134482407877e-16,0.0,1.6255459099408243
\lib\bugsnag::reportError,0.31707317073170727,,,0.2926829268292683,0.058823529411764705,0.04942551081265424,0.2462847291074537,0.00883065182919776,0.04335838858006796,0.3101264883001147,4.543773876575552e-10,1.326605396056606
\lib\integrations\slack-app\codegpt\codegpt::completions,0.31707317073170727,,,0.04878048780487805,0.3529411764705882,0.43336287880535246,0.032240909992248476,0.0019609479546291455,0.8706825909857375,0.020751548272766065,0.0,2.077793711017907
\routes\chat\playground::chatPlayground,0.2926829268292683,,,0.024390243902439025,0.3529411764705882,0.022689948326702916,0.019300680811686163,0.00016914400508388197,1.0,2.477992677201315e-16,0.0,1.7121741203457688
\lib\mixpanel\providers::getModelProvider,0.2926829268292683,,,0.3170731707317073,0.0,0.0,0.19249349213782743,0.004397763822085829,5.2783518551205504e-17,0.5509050540036557,4.543773876575552e-10,1.357552407978922
\lib\integrations\discord-app\codegpt\codegpt::completions,0.2926829268292683,,,0.024390243902439025,0.3529411764705882,0.2682421322824371,0.024125851014607704,0.001373262628622377,0.8706825909857375,0.00993155293060745,0.0,1.8443697370443077
\routes\chat\marketplace\agents::chatMarketplace,0.2926829268292683,,,0.024390243902439025,0.3529411764705882,0.02387616058620661,0.019300680811686163,0.00016914400508388197,0.9337102056120234,1.9065745391535751e-16,0.0,1.6470705382172959
\lib\consts::freePlanId,0.2926829268292683,,,0.3170731707317073,0.0,0.0,0.1997029626841814,0.006261693863985142,5.2783518551205504e-17,0.5472043935694004,0.0,1.3629251476785424
