Node,degree,indegree_files_defines,outdegree_files_defines,indegree_files_calls,outdegree_files_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\wiki\wikiGuille::readJson,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::documentFolders,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::temperature,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::max_tokens,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::onlyLogs,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::folder_path,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::nodesPath,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::linksPath,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::timeElapsedInSecconds,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::buildGraphs,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::bfs,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999999,1.0,3.0384615384615397
\src\wiki\wikiGuille::generateFileDocumentation,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,1.0,1.0,3.0384615384615397
\src\wiki\wikiGuille::findStartNodes,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,1.0,1.0,3.0384615384615397
\src\wiki\wikiGuille::generateFolderDocumentation,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::findFileParent,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::client2,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::model,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::response_format,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::projectId,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::totalTokensUsed,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::buildWiki,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::tokenizer,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::wikiNode,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::wikiLink,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::generateNodeDocumentation,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\wiki\wikiGuille::classifyAndDocumentFiles,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.9999999999999997,1.0,3.038461538461539
\src\utils\bitbucket\refresh-token::refreshAccessToken,0.0,,,,,,1.0,1.0,1.1031640622083079e-15,2.8142594944320034e-15,1.0,3.0000000000000036
\src\utils\gitlab\refresh-token::refreshAccessToken,0.0,,,,,,1.0,1.0,1.1031640622083079e-15,1.4092251539725056e-15,1.0,3.000000000000002
\llamaindex::readJson,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.4750093204432864e-15,1.0,2.5000000000000027
\src\index::app,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.568930426158123e-15,1.0,2.5000000000000027
\src\index::port,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.585424506148216e-15,1.0,2.5000000000000027
\src\utils\utils::ENV_VARS,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.514728443648279e-15,1.0,2.5000000000000027
\src\queries\index::treeSitterQueries,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.5354240876822557e-15,1.0,2.5000000000000027
\src\queries\index::languageQueries,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.55408304727263e-15,1.0,2.5000000000000027
\src\wiki\wiki::generateAndUpdateDocumentation,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.7560222103949995e-15,1.0,2.5000000000000027
\src\routes\create_graph-test::createGraphTest,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.4824510866845463e-15,1.0,2.5000000000000027
\src\routes\create_graph-test::repoRequestValidator,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.5153947191547688e-15,1.0,2.5000000000000027
\src\wiki\wiki::generateDocumentation,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.7161738146864407e-15,1.0,2.5000000000000027
\src\utils\utils::getEnv,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.6356585481952664e-15,1.0,2.5000000000000027
\tests\python.test::rootFolderPath,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.5521561280342812e-15,1.0,2.5000000000000027
\tests\java.test::nodeAttributes,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.7744403736291848e-15,1.0,2.5000000000000027
\tests\java.test::rootFolderPath,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.9967246192240884e-15,1.0,2.5000000000000027
\tests\javascript.test::nodeAttributes,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.6245142808972055e-15,1.0,2.5000000000000027
\tests\javascript.test::rootFolderPath,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.5892035023000983e-15,1.0,2.5000000000000027
\tests\php.test::nodeAttributes,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.5521561280342812e-15,1.0,2.5000000000000027
\tests\php.test::rootFolderPath,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.5521561280342812e-15,1.0,2.5000000000000027
\tests\python.test::nodeAttributes,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.5938344240833256e-15,1.0,2.5000000000000027
\llamaindex::main,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.4836675849516998e-15,1.0,2.5000000000000027
\tests\c.test::nodeAttributes,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.3669379135935745e-15,1.0,2.500000000000002
\tests\c.test::rootFolderPath,0.0,,,,,,1.0,0.4999999999999997,1.1031640622083079e-15,1.427583205291339e-15,1.0,2.500000000000002
\src\communities\centrality::pagerank,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.3104509536717903,1.0,2.34891249213333
\src\communities\centrality::G,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.3104509536717904,1.0,2.34891249213333
\src\communities\centrality::degree_centrality,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.3104509536717904,1.0,2.34891249213333
\src\communities\centrality::betweenness_centrality,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.3104509536717903,1.0,2.34891249213333
\src\communities\centrality::closeness_centrality,0.0,,,,,,1.0,0.038461538461538484,1.1031640622083079e-15,0.3104509536717904,1.0,2.34891249213333
