Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\model\codebase::Node,1.0,0.0,1.0,0.8666666666666667,0.375,1.0,0.6406822603266525,0.2351083583867124,0.9063616578182299,1.0,0.3593472296766622,7.383166172874923
\src\model\codebase::Codebase,0.5483870967741936,0.0,0.875,0.06666666666666667,0.375,0.0,0.0,0.0019610392135172494,1.0,0.15322423992891898,4.5367720254809065e-07,3.0202394962604995
\src\model\codebase::Node.constructor,0.4838709677419355,1.0,0.0,1.0,0.0,0.0,1.0,0.6184807542631815,1.4842482748791541e-16,0.362456380643547,1.0,5.464808102648664
\src\model\codebase::Codebase.constructor,0.4193548387096774,1.0,0.0,0.8666666666666667,0.0,0.0,0.7138397502601457,0.2230039095817041,1.4842482748791541e-16,0.9191302427469729,1.0434333368609262e-05,4.142005842298536
\src\communities\centrality::df,0.2903225806451613,,,0.2,0.875,0.17414673474872347,0.13596947624002773,0.10789397161934713,1.6741434007374092e-16,2.6166866062935246e-16,2.2683687063121083e-06,1.7833350316219665
\src\model\codebase::Codebase.generateNodesFromFilePath,0.25806451612903225,1.0,0.0,0.06666666666666667,0.875,0.01934963719430261,0.10197710718002082,0.00672356301777344,0.6038109807838684,0.25303820298411533,9.073544050961816e-07,3.184631581310185
\src\communities\centrality::G,0.25806451612903225,,,0.4,0.375,0.2934694974469229,0.3059313215400624,0.2918863018567577,1.5215438345610555e-16,5.457959752334469e-17,1.1335271415396504e-05,1.9243629722441913
\src\model\codebase::ImportName,0.22580645161290322,0.0,0.0625,0.3333333333333333,0.25,0.305563020693362,0.3877813680924476,0.18578755188351756,0.23388424450509385,0.1074469841331321,0.3875388063017348,2.4796417605555243
\src\wiki\wikiGuille::wikiNode,0.22580645161290322,,,0.4666666666666667,0.125,0.0,0.3059313215400624,0.8353093191874814,2.8551382051133316e-16,9.109765455479159e-16,1.5878706415790257e-05,1.9587296377135304
\src\model\calls::CallsCapturer,0.22580645161290322,0.0,0.25,0.06666666666666667,0.375,0.0,0.0,0.005149802849784708,3.1803255819897912e-16,3.309682946199923e-16,4.5367720254809065e-07,0.9226233748065579
\src\model\codebase::Codebase.parseFolder,0.22580645161290322,1.0,0.0,0.0,0.875,0.0,0.05098855359001041,0.0019610392135172494,0.6514241030107273,0.15322423992891906,4.5367720254809065e-07,2.95840484103328
\src\tools\function_tools::getUserToolsAndPrompt,0.22580645161290322,,,0.0,1.0,0.0,0.0,0.0,0.0,2.530118057268457e-16,0.0,1.2258064516129035
\src\queries\java::javaQueries,0.22580645161290322,,,0.0,1.0,0.0,0.0,0.0,9.118796924787317e-17,2.520530652762035e-16,0.0,1.2258064516129035
\src\wiki\wikiGuille::generateNodeDocumentation,0.22580645161290322,,,0.06666666666666667,0.875,0.01934963719430261,0.05098855359001041,0.015835243626205288,9.402859050635775e-16,2.6567125955488884e-16,8.653214172531115e-12,1.2536465526987426
\src\queries\typescript::tsQueries,0.19354838709677416,,,0.0,0.875,0.0,0.0,0.0,1.6564828626810927e-16,2.9905490754375605e-16,0.0,1.0685483870967747
\src\queries\php::phpQueries,0.19354838709677416,,,0.0,0.875,0.0,0.0,0.0,2.6250796274454025e-16,2.443325284925564e-16,0.0,1.0685483870967747
\src\wiki\wikiGuille::generateFileDocumentation,0.19354838709677416,,,0.06666666666666667,0.75,0.01612469766191884,0.05098855359001041,0.015835243626205288,8.539706131599442e-16,2.1603239140157903e-16,8.653214172531115e-12,1.0931635486502298
\src\queries\python::pyQueries,0.19354838709677416,,,0.0,0.875,0.0,0.0,0.0,1.7469315494830194e-16,2.4706568306267444e-16,0.0,1.0685483870967747
\src\queries\c::cQueries,0.19354838709677416,,,0.0,0.875,0.0,0.0,0.0,1.0427106926748866e-16,2.629287195547082e-16,0.0,1.0685483870967745
\src\tools\function_tools::getCode,0.19354838709677416,,,0.26666666666666666,0.375,0.029024455791453914,0.1529656607700312,0.11803904504640349,1.3873575754557078e-16,2.790294161825271e-16,2.7220459088601997e-06,1.1352469374172387
\src\model\codebase::ImportStatement,0.19354838709677416,0.0,0.0625,0.26666666666666666,0.25,0.13867239989250202,0.4465361208337275,0.08273342910557414,0.0620025909287567,0.18613663231691227,0.374837709362997,2.0636339362039102
\src\wiki\utils::Graph,0.16129032258064518,,,0.3333333333333333,0.125,0.0,0.20395421436004163,0.9736114800348323,1.741397067424433e-16,3.665524808118285e-16,2.722054562074376e-06,1.7971920723634152
\src\wiki\wikiGuille::generateFolderDocumentation,0.16129032258064518,,,0.06666666666666667,0.625,0.01612469766191884,0.05098855359001041,0.015835243626205288,7.168816201365264e-16,4.2651373052657e-16,8.653214172531115e-12,0.9359054841341007
\src\model\codebase::Codebase.resolveHeaderC,0.16129032258064518,1.0,0.0,0.06666666666666667,0.5,0.03950550927170116,0.11472424557752342,0.014423216157520059,0.4835447166509112,0.19140235032801994,1.3610229544300996e-06,2.571558388255942
\src\queries\javascript::jsQueries,0.16129032258064518,,,0.0,0.75,0.0,0.0,0.0,1.9166131898692432e-16,2.7836798497303643e-16,0.0,0.9112903225806458
\src\model\codebase::Codebase.resolveImportStatementsNodes,0.12903225806451613,1.0,0.0,0.06666666666666667,0.375,0.01612469766191884,0.10197710718002082,0.00672356301777344,0.24916495207815584,0.2530382029841155,9.073544050961816e-07,2.197728355007572
\src\communities\communities::constructGraphFromJson,0.12903225806451613,,,0.0,0.625,0.0,0.0,0.0,1.0142004850753449e-16,2.3202964077623604e-16,0.0,0.7540322580645165
\src\model\codebase::Node.addChild,0.12903225806451613,1.0,0.0,0.2,0.125,0.001612469766191884,0.4856052722858134,0.0619478506682336,0.07414855585713911,0.2504194809464467,0.2347292599759532,2.562495147564294
\src\model\codebase::Codebase.resolveSpaces,0.12903225806451613,1.0,0.0,0.06666666666666667,0.375,0.003224939532383768,0.10197710718002082,0.00672356301777344,0.4438298991633051,0.25303820298411533,9.073544050961816e-07,2.379493543963186
\src\model\calls::CallIdentifier,0.12903225806451613,0.0,0.0625,0.2,0.125,0.009674818597151306,0.11472424557752342,0.07673950876727381,1.565334553469083e-16,3.214680691082744e-16,1.3610329056263982e-05,0.7176844413355213
\src\model\codebase::Node.generateImports,0.12903225806451613,1.0,0.0,0.06666666666666667,0.375,0.03950550927170116,0.3982619456084597,0.017528545453671752,0.1342076480558641,0.23139505471125663,0.13431785997225862,2.5259154878043946
\src\communities\centrality::projectId,0.12903225806451613,,,0.3333333333333333,0.0,0.0,0.3274598219447335,0.128149233626555,1.4842482748791541e-16,2.3822819663609225e-16,2.425406934252707e-05,0.9179989010384807
\src\utils\git::GitServiceType,0.12903225806451613,,,0.26666666666666666,0.125,0.0,0.1529656607700312,0.6326796272907664,1.5324835215851168e-16,2.644304005946211e-16,1.8147088101923645e-06,1.306346027500791
\src\model\codebase::Codebase.addNodeMap,0.0967741935483871,1.0,0.0,0.06666666666666667,0.25,0.0,0.10197710718002082,0.00672356301777344,0.39260099587374203,0.2530382029841154,9.073544050961816e-07,2.16778163662511
\src\model\codebase::Node.getChildrenDefinitions,0.0967741935483871,1.0,0.0,0.06666666666666667,0.25,0.0024187046492878264,0.4130072840790843,0.017528545453671752,0.12537745914670223,0.2313950547112566,0.13431785997225862,2.337485768227315
\src\model\codebase::Node.getAllChildren,0.0967741935483871,1.0,0.0,0.13333333333333333,0.125,0.0018812147272238644,0.46017169614984393,0.04418737712971915,0.07414855585713911,0.23158793037197906,0.18452355993300312,2.3516078610506286
\src\model\codebase::Node.simplify,0.0967741935483871,1.0,0.0,0.0,0.375,0.0,0.4029339356869115,0.012187612477670551,0.13972890155515197,0.13887657611991336,0.1343169526265067,2.299818172014541
\src\model\codebase::Codebase.addNodeToSpaceMap,0.0967741935483871,1.0,0.0,0.06666666666666667,0.25,0.0,0.11472424557752342,0.007301972189518458,0.39260099587374203,0.24574271852026244,1.3610229544300996e-06,2.173812153399054
\src\model\calls::VariableAssignment,0.0967741935483871,,,0.2,0.125,0.0,0.11472424557752342,0.5532128687619391,1.7837852200547377e-16,3.872728525128604e-16,1.3610329056263982e-05,1.0897249182169066
\src\model\codebase::Link,0.0967741935483871,,,0.2,0.125,0.0,0.10197710718002082,0.3349466849651938,0.03972999352449573,0.19420998142735613,9.52722990672408e-06,1.0926474878753603
\src\model\calls::CallsCapturer.captureCalls,0.0967741935483871,1.0,0.0,0.06666666666666667,0.25,0.006449879064767536,0.10197710718002082,0.017166009499282365,2.077064556397732e-16,4.104347386359915e-16,9.073544050961816e-07,1.5390347633135302
\src\utils\ai::chatCompletionMessages,0.0967741935483871,,,0.2,0.125,0.0,0.10197710718002082,0.42178641819384444,1.238460546013974e-16,1.2070473753937518e-16,1.3610316076442725e-06,0.9455390799538602
\src\tools\function_tools::similarTo,0.0967741935483871,,,0.2,0.125,0.03224939532383768,0.18210197710718007,0.08300298119523257,1.5191486051566568e-16,1.1983354682444454e-16,2.721955050111388e-06,0.7191312691296877
\src\wiki\wikiGuille::client2,0.0967741935483871,,,0.26666666666666666,0.0,0.0,0.249843912591051,0.03883147657990693,1.4842482748791541e-16,7.992453089684354e-16,2.8122946060726135e-10,0.652116249667242
\src\wiki\wikiGuille::model,0.0967741935483871,,,0.26666666666666666,0.0,0.0,0.249843912591051,0.03883147657990693,1.4842482748791541e-16,8.062714440396118e-16,2.8122946060726135e-10,0.652116249667242
\src\wiki\wikiGuille::findFileParent,0.0967741935483871,,,0.13333333333333333,0.25,0.0,0.06798473812001386,0.03875945623185,3.718291124149665e-16,6.627822047813671e-16,1.3610229544300996e-06,0.5868530822565398
\src\model\codebase::Node.addNodeRelationship,0.0967741935483871,1.0,0.0,0.0,0.375,0.0,0.4029339356869115,0.012187612477670551,0.15876430517012236,0.13887657611991333,0.1343169526265067,2.3188535756295114
\src\utils\ai::chatResponse,0.0967741935483871,,,0.2,0.125,0.0,0.10197710718002082,0.42178641819384444,1.1514312438172158e-16,7.816267381402556e-17,1.3610316076442725e-06,0.9455390799538602
\src\model\codebase::NodeCallTuple,0.0967741935483871,,,0.13333333333333333,0.25,0.0,0.37783825609007715,0.048746754135088874,0.24052193143932274,0.17573036625093902,0.2144879673620869,1.5374328021592352
\src\model\calls::CallsCapturer.getCallsFromNode,0.0967741935483871,1.0,0.0,0.0,0.375,0.0,0.05098855359001041,0.005149802849784708,2.36611482588772e-16,3.217043318169095e-16,4.5367720254809065e-07,1.5279130036653852
\src\utils\db::GraphLink,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.4217864181938445,1.3194221727986403e-16,1.6028077226609655e-16,9.073544050961818e-07,0.7956253415038517
\src\model\codebase::Node.isWithin,0.06451612903225806,1.0,0.0,0.06666666666666667,0.125,0.0,0.43825875823794663,0.02619871139041408,0.07414855585713911,0.1632031161074483,0.18452219900090744,2.1425141362927804
\src\wiki\utils::documentNodesByLevels,0.06451612903225806,,,0.0,0.375,0.0,0.0,0.0,1.7520702050021055e-16,2.2622525967759925e-16,0.0,0.43951612903225845
\src\wiki\prompts::generateFolderPrompts,0.06451612903225806,,,0.0,0.375,0.0,0.0,0.0,1.9928017394698436e-16,1.9535357531899578e-16,0.0,0.4395161290322585
\src\model\codebase::Node.addImportStatement,0.06451612903225806,1.0,0.0,0.0,0.25,0.0,0.3982619456084597,0.012187612477670551,0.11222696533059094,0.13887657611991336,0.1343169526265067,2.1103861811953992
\src\model\codebase::Codebase.addNode,0.06451612903225806,1.0,0.0,0.0,0.25,0.0,0.05098855359001041,0.0019610392135172494,0.39260099587374203,0.153224239928919,4.5367720254809065e-07,1.9132914113156492
\src\wiki\wikiGuille::temperature,0.06451612903225806,,,0.2,0.0,0.0,0.20395421436004163,0.02299623295370165,1.4842482748791541e-16,8.088235375535175e-16,2.7257624643473027e-10,0.49146657661857857
\src\wiki\wikiGuille::max_tokens,0.06451612903225806,,,0.2,0.0,0.0,0.20395421436004163,0.02299623295370165,1.4842482748791541e-16,7.811291656444382e-16,2.7257624643473027e-10,0.4914665766185785
\src\wiki\wikiGuille::timeElapsedInSecconds,0.06451612903225806,,,0.2,0.0,0.0,0.20395421436004163,0.02299623295370165,1.4842482748791541e-16,7.875463068859449e-16,2.7257624643473027e-10,0.4914665766185785
\src\model\consts::AllowedTypes,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.4217864181938445,1.584729038000328e-16,2.899692941924891e-16,9.073544050961818e-07,0.7956253415038519
\src\utils\db::GraphNode,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.4217864181938445,1.6335816119655765e-16,3.1384963405869067e-16,9.073544050961818e-07,0.7956253415038519
\src\model\codebase::Node.getChild,0.06451612903225806,1.0,0.0,0.0,0.25,0.0,0.4029339356869115,0.012187612477670551,0.12152504447222955,0.13887657611991333,0.1343169526265067,2.12435625041549
\src\model\codebase::Node.getClassMethodCode,0.06451612903225806,1.0,0.0,0.06666666666666667,0.125,0.0,0.43825875823794663,0.02619871139041408,0.07414855585713911,0.16028643085680425,0.18452219900090744,2.1395974510421363
\src\model\codebase::Node.getCodeWithoutBody,0.06451612903225806,1.0,0.0,0.06666666666666667,0.125,0.0,0.43825875823794663,0.02619871139041408,0.07414855585713911,0.16028643085680416,0.18452219900090744,2.1395974510421363
\src\utils\db::GraphFolder,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.4217864181938445,1.3327223218304916e-16,1.6678221227983421e-16,9.073544050961818e-07,0.7956253415038518
\src\wiki\wikiGuille::projectId,0.06451612903225806,,,0.2,0.0,0.0,0.1529656607700312,0.047505730878615884,1.4842482748791541e-16,3.4012956178485346e-16,2.595964251759335e-11,0.4649875207068653
\src\wiki\prompts::Graph,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.4217864181938445,1.6240010377206884e-16,3.091664136976909e-16,9.073544050961818e-07,0.7956253415038519
\src\model\codebase::Codebase.getNode,0.06451612903225806,1.0,0.0,0.0,0.25,0.0,0.05098855359001041,0.0019610392135172494,0.39260099587374203,0.153224239928919,4.5367720254809065e-07,1.9132914113156492
\src\communities\communities::wikiNode,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.2530718509163065,1.432398210340133e-16,2.1550623848506734e-16,9.073544050961818e-07,0.6269107742263137
\src\wiki\wikiGuille::wikiLink,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.3163398136453833,1.4842482748791541e-16,2.4085182547823393e-16,9.073544050961818e-07,0.6901787369553906
\src\routes\graphs::UpdateGraphDocumentation,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.06798473812001386,0.5113977791161001,1.1784240943848998e-16,9.135744316174563e-17,1.3610229544300996e-06,0.90223334062466
\src\communities\centrality::eigenvector_centrality,0.06451612903225806,,,0.13333333333333333,0.125,0.05482397205052406,0.1529656607700312,0.04929887157685409,1.1031867889529377e-16,2.742426432249793e-16,2.268195642028658e-06,0.5799402349586431
\src\routes\graphs::UpdateGraph,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.06798473812001386,0.5113977791161001,1.5911747463701803e-16,2.9312011500000665e-16,1.3610229544300996e-06,0.9022333406246602
\src\routes\create_graph::createGraph,0.06451612903225806,,,0.0,0.375,0.0,0.0,0.0,1.1444269166754795e-16,2.415800514011756e-16,0.0,0.4395161290322584
\src\tools\function_tools::nodeSeen,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.1165452653485952,0.5037971660182252,1.556826722798649e-16,2.763299561599841e-16,2.449861220366777e-05,0.9432163923446159
\src\communities\centrality::nodes,0.06451612903225806,,,0.06666666666666667,0.25,0.09674818597151304,0.23289366369491243,0.09327593519070697,1.2849337540569997e-16,1.8725037299539606e-16,1.1309826639122175e-05,0.8041118903826965
\src\model\codebase::Node.parseExportClauses,0.06451612903225806,1.0,0.0,0.06666666666666667,0.125,0.000806234883095942,0.4130072840790843,0.017528545453671752,0.07414855585713911,0.23139505471125663,0.13431785997225862,2.127386330655431
\src\tools\function_tools::Similarity,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.1249219562955255,1.0,1.6201561861915343e-16,3.072869556917197e-16,2.132375441367672e-05,1.447792742415531
\src\communities\centrality::links_path,0.06451612903225806,,,0.06666666666666667,0.25,0.0403117441547971,0.1959560098753341,0.055488450643758506,1.5240395379167414e-16,1.9052913244297652e-16,1.1223469724983858e-05,0.6729502238425397
\src\communities\centrality::nodes_path,0.06451612903225806,,,0.06666666666666667,0.25,0.0403117441547971,0.1959560098753341,0.055488450643758506,1.5240395379167414e-16,2.0595234259321244e-16,1.1223469724983858e-05,0.6729502238425397
\src\communities\centrality::links,0.06451612903225806,,,0.06666666666666667,0.25,0.09674818597151304,0.23289366369491243,0.09327593519070697,1.253382129630064e-16,2.577827015467557e-16,1.1309826639122175e-05,0.8041118903826965
\src\model\codebase::Codebase.resolvePythonInitImportStatements,0.06451612903225806,1.0,0.0,0.06666666666666667,0.125,0.0,0.10197710718002082,0.00672356301777344,0.1880286395380995,0.25303820298411533,9.073544050961816e-07,1.8059512157733388
\src\communities\communities::wikiLink,0.06451612903225806,,,0.13333333333333333,0.125,0.0,0.05098855359001041,0.2530718509163065,1.363554611898877e-16,1.8185379410088858e-16,9.073544050961818e-07,0.6269107742263137
\src\communities\communities::linksFilePath,0.06451612903225806,,,0.06666666666666667,0.25,0.003224939532383768,0.05098855359001041,0.006334097450482119,1.4458498254718383e-16,1.9558415838266e-16,8.653214172531115e-12,0.4417303862804546
\src\model\calls::CallsCapturer.constructor,0.06451612903225806,1.0,0.0,0.13333333333333333,0.0,0.0,0.1529656607700312,0.04029814095229159,1.4842482748791541e-16,4.500187627907555e-16,1.8147001569781904e-06,1.3911150787880717
\src\model\codebase::Codebase.getCalls,0.06451612903225806,1.0,0.0,0.0,0.25,0.0,0.05098855359001041,0.0019610392135172494,0.39260099587374203,0.15322423992891898,4.5367720254809065e-07,1.9132914113156492
\src\model\calls::CallsCapturer.captureAssignments,0.06451612903225806,1.0,0.0,0.06666666666666667,0.125,0.003224939532383768,0.10197710718002082,0.017166009499282365,1.7837852200547377e-16,2.9318003795096773e-16,9.073544050961816e-07,1.3785517592650172
\src\model\codebase::Node.removeChild,0.06451612903225806,1.0,0.0,0.06666666666666667,0.125,0.0018812147272238644,0.42359721444008647,0.023170728760603863,0.07414855585713911,0.21296734780039372,0.1343183135586024,2.126266170842974
\src\communities\communities::nodesFilePath,0.06451612903225806,,,0.06666666666666667,0.25,0.003224939532383768,0.05098855359001041,0.006334097450482119,1.4458498254718383e-16,1.7948738633937847e-16,8.653214172531115e-12,0.4417303862804545
\src\model\codebase::Codebase.getLinks,0.06451612903225806,1.0,0.0,0.0,0.25,0.0,0.05098855359001041,0.0019610392135172494,0.2277586330625951,0.15322423992891895,4.5367720254809065e-07,1.7484490485045023
\src\routes\graphs::updateGraphDocumentation,0.03225806451612903,,,0.06666666666666667,0.125,0.003224939532383768,0.05098855359001041,0.015835243626205288,1.1784240943848998e-16,2.7176099943003e-16,8.653214172531115e-12,0.29397346794004875
\src\tools\function_tools::similarToTool,0.03225806451612903,,,0.06666666666666667,0.125,0.0,0.05098855359001041,0.003958810906551324,1.2366783306402632e-16,1.5833885165458996e-16,8.653214172531115e-12,0.2788720956880109
\src\routes\graphs::graphs,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.511794136255357e-16,2.959754231306181e-16,0.0,0.28225806451612945
