source,target,label,line
\examples\chat_completion,\examples\chat_completion::chat_example,defines,12
\examples\chat_completion,\examples\chat_completion::chat_example,calls,28
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.delete_document,defines,524
\src\judini\codegpt::CodeGPTPlus.delete_document,\src\judini\codegpt::CodeGPTPlus.__init__,calls,4
\src\judini\codegpt::CodeGPTPlus.delete_document,\src\judini\codegpt::JUDINI_TUTORIAL,calls,9
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.upload_document,defines,475
\src\judini\codegpt::CodeGPTPlus.upload_document,\src\judini\codegpt::CodeGPTPlus.__init__,calls,10
\src\judini\codegpt::CodeGPTPlus.upload_document,\src\judini\codegpt::JUDINI_TUTORIAL,calls,21
\src\judini\codegpt::CodeGPTPlus.upload_document,\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,calls,26
\src\judini\codegpt::CodeGPTPlus.upload_document,\src\judini\codegpt::CodeGPTPlus.update_document_metadata,calls,27
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,defines,441
\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,\src\judini\codegpt::CodeGPTPlus.__init__,calls,9
\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,\src\judini\codegpt::JUDINI_TUTORIAL,calls,20
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.update_document_metadata,defines,395
\src\judini\codegpt::CodeGPTPlus.update_document_metadata,\src\judini\codegpt::CodeGPTPlus.get_document,calls,9
\src\judini\codegpt::CodeGPTPlus.update_document_metadata,\src\judini\codegpt::CodeGPTPlus.__init__,calls,9
\src\judini\codegpt::CodeGPTPlus.update_document_metadata,\src\judini\codegpt::JUDINI_TUTORIAL,calls,30
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.get_document,defines,366
\src\judini\codegpt::CodeGPTPlus.get_document,\src\judini\codegpt::CodeGPTPlus.__init__,calls,4
\src\judini\codegpt::CodeGPTPlus.get_document,\src\judini\codegpt::JUDINI_TUTORIAL,calls,9
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.get_documents,defines,341
\src\judini\codegpt::CodeGPTPlus.get_documents,\src\judini\codegpt::CodeGPTPlus.__init__,calls,4
\src\judini\codegpt::CodeGPTPlus.get_documents,\src\judini\codegpt::JUDINI_TUTORIAL,calls,8
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.update_agent_documents,defines,316
\src\judini\codegpt::CodeGPTPlus.update_agent_documents,\src\judini\codegpt::CodeGPTPlus.__init__,calls,4
\src\judini\codegpt::CodeGPTPlus.update_agent_documents,\src\judini\codegpt::JUDINI_TUTORIAL,calls,10
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.delete_agent,defines,297
\src\judini\codegpt::CodeGPTPlus.delete_agent,\src\judini\codegpt::CodeGPTPlus.__init__,calls,4
\src\judini\codegpt::CodeGPTPlus.delete_agent,\src\judini\codegpt::JUDINI_TUTORIAL,calls,9
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.update_agent,defines,218
\src\judini\codegpt::CodeGPTPlus.update_agent,\src\judini\codegpt::CodeGPTPlus.__init__,calls,40
\src\judini\codegpt::CodeGPTPlus.update_agent,\src\judini\codegpt::JUDINI_TUTORIAL,calls,46
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.create_agent,defines,167
\src\judini\codegpt::CodeGPTPlus.create_agent,\src\judini\codegpt::CodeGPTPlus.__init__,calls,19
\src\judini\codegpt::CodeGPTPlus.create_agent,\src\judini\codegpt::JUDINI_TUTORIAL,calls,24
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.get_agent,defines,136
\src\judini\codegpt::CodeGPTPlus.get_agent,\src\judini\codegpt::CodeGPTPlus.__init__,calls,4
\src\judini\codegpt::CodeGPTPlus.get_agent,\src\judini\codegpt::JUDINI_TUTORIAL,calls,9
\src\judini\codegpt::CodeGPTPlus,\src\judini\codegpt::CodeGPTPlus.get_agents,defines,109
\src\judini\codegpt::CodeGPTPlus.get_agents,\src\judini\codegpt::CodeGPTPlus.__init__,calls,4
\src\judini\codegpt::CodeGPTPlus.get_agents,\src\judini\codegpt::JUDINI_TUTORIAL,calls,8
