ID,degree,indegree_files_defines,outdegree_files_defines,indegree_files_calls,outdegree_files_calls,betweenness,closeness,pagerank,eigenvector
\src\judini\codegpt,1,0,0.2222222222222222,0,0.3333333333333333,NaN,0,0,0
\streamlit,0.7499999999999999,0,0.2222222222222222,,,NaN,0,0,0
\src\judini\types,0.49999999999999994,0,0.16666666666666666,,,NaN,0,0,0
\examples\chat_completion,0.24999999999999997,0,0.05555555555555555,0,0.3333333333333333,NaN,0,0,0
\examples\chat_completion::chat_example,0.24999999999999997,0.05555555555555555,0,0.3333333333333333,0,NaN,1,1,1
\src\judini\codegpt::base_url,0.24999999999999997,0.05555555555555555,0,0.3333333333333333,0,NaN,1,0.40000000000000013,1
\src\judini\utils,0.24999999999999997,0,0.1111111111111111,,,NaN,0,0,0
\src\judini\codegpt::CodeGPTPlus,0,0.05555555555555555,0,,,NaN,1,0.20000000000000007,0.49999999999999956
\src\judini\codegpt::PLAYGROUND_KEYS_URL,0,0.05555555555555555,0,,,NaN,1,0.20000000000000007,0.49999999999999956
\src\judini\codegpt::JUDINI_TUTORIAL,0,0.05555555555555555,0,,,NaN,1,0.20000000000000007,0.49999999999999956
\src\judini\types::Document,0,0.05555555555555555,0,,,NaN,1,0.3333333333333333,0.49999999999999956
\src\judini\types::DocumentMetadata,0,0.05555555555555555,0,,,NaN,1,0.3333333333333333,0.49999999999999956
\src\judini\types::Agent,0,0.05555555555555555,0,,,NaN,1,0.3333333333333333,0.49999999999999956
\src\judini\utils::handle_non_stream,0,0.05555555555555555,0,,,NaN,1,0.5000000000000002,0.49999999999999956
\src\judini\utils::handle_stream,0,0.05555555555555555,0,,,NaN,1,0.5000000000000002,0.49999999999999956
\streamlit::completion,0,0.05555555555555555,0,,,NaN,1,0.2500000000000001,0.49999999999999956
\streamlit::enable_stream,0,0.05555555555555555,0,,,NaN,1,0.2500000000000001,0.49999999999999956
\streamlit::AGENT_ID,0,0.05555555555555555,0,,,NaN,1,0.2500000000000001,0.49999999999999956
\streamlit::CODEGPT_API_KEY,0,0.05555555555555555,0,,,NaN,1,0.2500000000000001,0.49999999999999956
