Node,degree,indegree_files_defines,outdegree_files_defines,indegree_files_calls,outdegree_files_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\judini\codegpt::CodeGPTPlus,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,0.9999999999999999,1.0,3.473368436525225
\src\judini\codegpt::PLAYGROUND_KEYS_URL,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,1.0,1.0,3.473368436525225
\src\judini\codegpt::JUDINI_TUTORIAL,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,1.0,1.0,3.473368436525225
\src\judini\codegpt::base_url,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,0.9999999999999999,1.0,3.473368436525225
\examples\chat_completion::chat_example,0.0,,,,,,1.0,1.0,0.2233684365252249,0.22336843652522503,1.0,3.44673687305045
\src\judini\utils::handle_stream,0.0,,,,,,1.0,0.5000000000000002,0.2233684365252249,0.22336843652522487,1.0,2.94673687305045
\src\judini\utils::handle_non_stream,0.0,,,,,,1.0,0.5000000000000002,0.2233684365252249,0.2233684365252249,1.0,2.94673687305045
\src\judini\types::DocumentMetadata,0.0,,,,,,1.0,0.3333333333333333,0.2233684365252249,0.2233684365252248,1.0,2.780070206383783
\src\judini\types::Document,0.0,,,,,,1.0,0.3333333333333333,0.2233684365252249,0.22336843652522498,1.0,2.780070206383783
\src\judini\types::Agent,0.0,,,,,,1.0,0.3333333333333333,0.2233684365252249,0.22336843652522503,1.0,2.780070206383783
\streamlit::AGENT_ID,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,9.213681933232521e-17,1.0,2.473368436525225
\streamlit::enable_stream,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,0.0,1.0,2.473368436525225
\streamlit::completion,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,9.213681933232521e-17,1.0,2.473368436525225
\streamlit::CODEGPT_API_KEY,0.0,,,,,,1.0,0.2500000000000003,0.2233684365252249,9.213681933232521e-17,1.0,2.473368436525225
\src\judini\codegpt,1.0,,,,,,0.0,0.0,1.0,0.22336843652522503,0.0,2.223368436525225
\streamlit,1.0,,,,,,0.0,0.0,0.0,0.2233684365252249,0.0,1.2233684365252249
\src\judini\types,0.6666666666666666,,,,,,0.0,0.0,0.22336843652522487,0.22336843652522498,0.0,1.1134035397171165
\src\judini\utils,0.3333333333333333,,,,,,0.0,0.0,0.22336843652522487,0.22336843652522492,0.0,0.780070206383783
\examples\chat_completion,0.0,,,,,,0.0,0.0,0.2233684365252249,0.22336843652522498,0.0,0.44673687305044985
