Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\judini\codegpt::CodeGPTPlus,1.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,5.893396792658678e-17,0.0,3.25
\src\judini\codegpt::CodeGPTPlus.__init__,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.5018090085040537,0.038701405492975516,1.0,0.005079662779456156,6.795590076776486
\src\judini\codegpt::JUDINI_TUTORIAL,0.9285714285714287,,,1.0,0.25,1.0,0.9333333333333333,0.49693469385392947,0.038701405492975516,0.9101636930091066,0.0050796617768297725,5.562784216037604
\src\judini\codegpt::CodeGPTPlus.upload_document,0.28571428571428575,1.0,0.0,0.0,1.0,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.9002997233512239,0.08983630699089354,1.002626383655387e-09,3.363987522664353
\src\judini\codegpt::CodeGPTPlus.update_document_metadata,0.28571428571428575,1.0,0.0,0.07692307692307691,0.75,0.16568047337278105,0.14285714285714288,0.024188734868115548,0.8294956695946003,0.17071590932169056,2.481500299547086e-07,3.445575540801723
\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,0.21428571428571433,1.0,0.0,0.07692307692307691,0.5,0.011834319526627219,0.14285714285714288,0.024188734868115548,0.7637783231809324,0.17071590932169056,2.481500299547086e-07,2.9045834691133297
\src\judini\codegpt::CodeGPTPlus.get_document,0.21428571428571433,1.0,0.0,0.07692307692307691,0.5,0.011834319526627219,0.1607142857142857,0.03609904114057933,0.7637783231809324,0.1643551346122108,4.069794174775045e-05,2.9280305933251745
\src\judini\codegpt::CodeGPTPlus.delete_document,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089341,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::CodeGPTPlus.get_agent,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089355,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::base_url,0.1428571428571429,,,0.23076923076923075,0.0,0.0,0.6305418719211823,1.0,3.141963687273211e-17,0.09678988968058552,1.0,3.1009581352281415
\src\judini\codegpt::CodeGPTPlus.chat_completion,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089355,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::CodeGPTPlus.get_agents,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089358,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::CodeGPTPlus.update_agent,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.0898363069908936,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::CodeGPTPlus.create_agent,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089355,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::CodeGPTPlus.delete_agent,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089355,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::CodeGPTPlus.update_agent_documents,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089355,1.002626383655387e-09,2.584608979636918
\src\judini\codegpt::CodeGPTPlus.get_documents,0.1428571428571429,1.0,0.0,0.0,0.5,0.011834319526627219,0.07142857142857144,0.004874314650124293,0.7637783231809324,0.08983630699089355,1.002626383655387e-09,2.584608979636918
\src\judini\types::Document,0.0,0.0,0.07142857142857142,,,0.0,0.0,0.0,0.0,7.857862390211569e-17,0.0,0.07142857142857151
\src\judini\types::Document.json_loads,0.0,1.0,0.0,,,0.0,0.07142857142857144,0.07311471975186454,3.141963687273211e-17,0.0,1.002626383655387e-09,1.1445432921830623
\streamlit::completion,0.0,,,0.0,0.25,0.0,0.0,0.0,0.0,6.875629591435124e-17,0.0,0.25000000000000006
\streamlit::CODEGPT_API_KEY,0.0,,,0.07692307692307691,0.0,0.0,0.07142857142857144,0.07311471975186454,3.141963687273211e-17,0.0,1.002626383655387e-09,0.2214663691061393
