id,language,label,type,parent,totalTokens,inDegree,outDegree,code,importStatements,codeNoBody,originFile,community,full_name
judini-python-main\examples\chat_completion::chat_example,python,chat_example,function,judini-python-main\examples\chat_completion,166,1,1,"def chat_example(messages: list):
    # Retrieve the CodeGPT API key from environment variables
    CODEGPT_API_KEY = os.getenv(""CODEGPT_API_KEY"")
    CODEGPT_ORG_ID = os.getenv(""CODEGPT_ORG_ID"")
    CODEGPT_AGENT_ID = os.getenv(""CODEGPT_AGENT_ID"")
    # Create an instance of the CodeGPTPlus class
    codegpt = CodeGPTPlus(api_key=CODEGPT_API_KEY, org_id=CODEGPT_ORG_ID)

    # Use a loop to interact with the agent and get responses
    for chunk in codegpt.chat_completion(agent_id=CODEGPT_AGENT_ID, messages=messages, stream=True):
        print(chunk, end="""")  # Print the responses obtained from the agent",[],"def chat_example(messages: list):
    # Retrieve the CodeGPT API key from environment variables
    ...",judini-python-main\examples\chat_completion.py,0,judini-python-main\examples\chat_completion::chat_example
judini-python-main\examples\chat_completion,python,judini-python-main\examples\chat_completion.py,file,,288,1,1,"# Import necessary modules and libraries
import os
from judini import CodeGPTPlus
from dotenv import load_dotenv

# Load environment variables from a .env file if available
load_dotenv()


# Define a function to demonstrate a chat interaction with a CodeGPT agent

def chat_example(messages: list):
    # Retrieve the CodeGPT API key from environment variables
    CODEGPT_API_KEY = os.getenv(""CODEGPT_API_KEY"")
    CODEGPT_ORG_ID = os.getenv(""CODEGPT_ORG_ID"")
    CODEGPT_AGENT_ID = os.getenv(""CODEGPT_AGENT_ID"")
    # Create an instance of the CodeGPTPlus class
    codegpt = CodeGPTPlus(api_key=CODEGPT_API_KEY, org_id=CODEGPT_ORG_ID)

    # Use a loop to interact with the agent and get responses
    for chunk in codegpt.chat_completion(agent_id=CODEGPT_AGENT_ID, messages=messages, stream=True):
        print(chunk, end="""")  # Print the responses obtained from the agent

# Entry point of the script
if __name__ == ""__main__"":
    text = ""First President of USA?""  # Define a user message for the conversation
    message = {""role"": ""user"", ""content"": text}  # Create a message for the user
    chat_example([message])","['import os', 'from judini import CodeGPTPlus', 'from dotenv import load_dotenv']","# Import necessary modules and libraries
import os
from judini import CodeGPTPlus
from dotenv import load_dotenv
# Load environment variables from a .env file if available
load_dotenv()


# Define a function to demonstrate a chat interaction with a CodeGPT agent

def chat_example(messages: list):
    # Retrieve the CodeGPT API key from environment variables
    ...

# Entry point of the script
if __name__ == ""__main__"":
    text = ""First President of USA?""  # Define a user message for the conversation
    message = {""role"": ""user"", ""content"": text}  # Create a message for the user
    chat_example([message])",,0,judini-python-main\examples\chat_completion
judini-python-main\setup,python,judini-python-main\setup.py,file,,221,0,0,"import setuptools

with open(""README.md"", ""r"", encoding=""utf-8"") as fh:
    long_description = fh.read()

setuptools.setup(
    name=""judini"",
    version=""0.1.12"",
    author=""Judini Inc."",
    author_email=""daniel@judini.ai"",
    description=""CodeGPT python package"",
    long_description=long_description,
    long_description_content_type=""text/markdown"",
    url=""https://github.com/JudiniLabs/judini-python"",
    packages=setuptools.find_packages(),
    package_data={""judini"": [""VERSION""]},
    include_package_data=True,
    classifiers=[
        ""Programming Language :: Python :: 3"",
        ""License :: OSI Approved :: GNU General Public License v3 (GPLv3)"",
        ""Operating System :: OS Independent"",
    ],
    python_requires="">=3.7"",
    install_requires=[
        ""requests>=2.31.0"", ""python-dotenv>=1.0.0"", ""pydantic>=2.5.2""
    ],
)",['import setuptools'],"import setuptools
with open(""README.md"", ""r"", encoding=""utf-8"") as fh:
    long_description = fh.read()

setuptools.setup(
    name=""judini"",
    version=""0.1.12"",
    author=""Judini Inc."",
    author_email=""daniel@judini.ai"",
    description=""CodeGPT python package"",
    long_description=long_description,
    long_description_content_type=""text/markdown"",
    url=""https://github.com/JudiniLabs/judini-python"",
    packages=setuptools.find_packages(),
    package_data={""judini"": [""VERSION""]},
    include_package_data=True,
    classifiers=[
        ""Programming Language :: Python :: 3"",
        ""License :: OSI Approved :: GNU General Public License v3 (GPLv3)"",
        ""Operating System :: OS Independent"",
    ],
    python_requires="">=3.7"",
    install_requires=[
        ""requests>=2.31.0"", ""python-dotenv>=1.0.0"", ""pydantic>=2.5.2""
    ],
)",,1,judini-python-main\setup
judini-python-main\src\judini\__init__,python,judini-python-main\src\judini\__init__.py,file,,10,0,0,from .codegpt import CodeGPTPlus,['from .codegpt import CodeGPTPlus'],from .codegpt import CodeGPTPlus,,2,judini-python-main\src\judini\__init__
judini-python-main\src\judini\codegpt::CodeGPTPlus.delete_document,python,CodeGPTPlus.delete_document,method,judini-python-main\src\judini\codegpt::CodeGPTPlus,89,0,3,"class CodeGPTPlus:
    ...
    def delete_document(self, document_id: str) -> None:
        

        response = requests.delete(f""{self.base_url}/document/{document_id}"",
                                   headers=self.headers)
        
        if response.status_code != 200:
            raise Exception(f'JUDINI: API Response was: {response.status_code}'
                            + f' {response.text} {JUDINI_TUTORIAL}')
        
        print('Document deleted successfully')
        return",[],"class CodeGPTPlus:
    ...
    def delete_document(self, document_id: str) -> None:
            ...",judini-python-main\src\judini\codegpt.py,3,judini-python-main\src\judini\codegpt::CodeGPTPlus.delete_document
judini-python-main\src\judini\codegpt::CodeGPTPlus.upload_document,python,CodeGPTPlus.upload_document,method,judini-python-main\src\judini\codegpt::CodeGPTPlus,264,0,5,"class CodeGPTPlus:
    ...
    def upload_document(self, file_path: str,
                        generate_metadata: bool = False) -> Dict[str, str]:
        
        
        if not os.path.exists(file_path):
            raise FileNotFoundError(f'JUDINI: File not found: {file_path}')
        
        file_type = mimetypes.guess_type(file_path)[0]
        
        headers = self.headers.copy()
        del headers['Content-Type']
        
        with open(file_path, 'rb') as file:
            file_tuple = (os.path.basename(file_path), file, file_type)
            response = requests.post(f""{self.base_url}/document"",
                                     headers=headers,
                                     files={'file': file_tuple})
        
        if response.status_code != 200:
            raise Exception(f'JUDINI: API Response was: {response.status_code}'
                            + f' {response.text} {JUDINI_TUTORIAL}')
        
        document_id = response.json()['documentId']
        if generate_metadata:
            try:
                document_metadata = self._generate_document_metadata(file_path)
                self.update_document_metadata(document_id,
                                              **document_metadata.model_dump())
                return {'id' : document_id}
            except:
                print('Failed to generate document metadata.')
                return {'id' : document_id}

        return {'id' : document_id}",[],"class CodeGPTPlus:
    ...
    def upload_document(self, file_path: str,
                        generate_metadata: bool = False) -> Dict[str, str]:
            ...",judini-python-main\src\judini\codegpt.py,3,judini-python-main\src\judini\codegpt::CodeGPTPlus.upload_document
judini-python-main\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,python,CodeGPTPlus._generate_document_metadata,method,judini-python-main\src\judini\codegpt::CodeGPTPlus,183,1,3,"class CodeGPTPlus:
    ...
    def _generate_document_metadata(self, file_path: str) -> DocumentMetadata:
        

        if not os.path.exists(file_path):
            raise FileNotFoundError(f'JUDINI: File not found: {file_path}')
        
        file_type = mimetypes.guess_type(file_path)[0]
        
        headers = self.headers.copy()
        del headers['Content-Type']

        with open(file_path, 'rb') as file:
            file_tuple = (os.path.basename(file_path), file, file_type)
            response = requests.post(f""{self.base_url}/document/metadata"",
                                     headers=headers,
                                     files={'file': file_tuple})
            
        if response.status_code != 200:
            raise Exception(f'JUDINI: API Response was: {response.status_code}'
                            + f' {response.text} {JUDINI_TUTORIAL}')
        
        return DocumentMetadata(**response.json()[""metadata""])",[],"class CodeGPTPlus:
    ...
    def _generate_document_metadata(self, file_path: str) -> DocumentMetadata:
            ...",judini-python-main\src\judini\codegpt.py,3,judini-python-main\src\judini\codegpt::CodeGPTPlus._generate_document_metadata
judini-python-main\src\judini\codegpt::CodeGPTPlus.update_document_metadata,python,CodeGPTPlus.update_document_metadata,method,judini-python-main\src\judini\codegpt::CodeGPTPlus,223,1,4,"class CodeGPTPlus:
    ...
    def update_document_metadata(self,
                                 document_id: str,
                                 title: Optional[str] = None,
                                 description: Optional[str] = None,
                                 summary: Optional[str] = None,
                                 keywords: Optional[str] = None,
                                 language: Optional[str] = None):
        
        document_metadata = (self.get_document(document_id).metadata or
                             DocumentMetadata())
        if title:
            document_metadata.title = title
        if description:
            document_metadata.description = description
        if summary:
            document_metadata.summary = summary
        if keywords:
            document_metadata.keywords = keywords
        if language:
            document_metadata.language = language

        payload = json.dumps(document_metadata.model_dump())

        response = requests.patch(f""{self.base_url}/document/{document_id}/metadata"",
                                  headers=self.headers,
                                  data=payload)

        if response.status_code != 200:
            raise Exception(f'JUDINI: API Response was: {response.status_code}'
                            + f' {response.text} {JUDINI_TUTORIAL}')
        
        print(""Document metadata updated successfully"")
        return",[],"class CodeGPTPlus:
    ...
    def update_document_metadata(self,
                                 document_id: str,
                                 title: Optional[str] = None,
                                 description: Optional[str] = None,
                                 summary: Optional[str] = None,
                                 keywords: Optional[str] = None,
                                 language: Optional[str] = None):
            ...",judini-python-main\src\judini\codegpt.py,3,judini-python-main\src\judini\codegpt::CodeGPTPlus.update_document_metadata
judini-python-main\src\judini\codegpt::CodeGPTPlus.get_document,python,CodeGPTPlus.get_document,method,judini-python-main\src\judini\codegpt::CodeGPTPlus,86,1,3,"class CodeGPTPlus:
    ...
    def get_document(self, document_id: str) -> Document:
        

        response = requests.get(f""{self.base_url}/document/{document_id}"",
                                headers=self.headers)

        if response.status_code != 200:
           raise Exception(f'JUDINI: API Response was: {response.status_code}'
                            + f' {response.text} {JUDINI_TUTORIAL}')
        
        return Document(**response.json())",[],"class CodeGPTPlus:
    ...
    def get_document(self, document_id: str) -> Document:
            ...",judini-python-main\src\judini\codegpt.py,3,judini-python-main\src\judini\codegpt::CodeGPTPlus.get_document
judini-python-main\src\judini\codegpt::CodeGPTPlus.get_documents,python,CodeGPTPlus.get_documents,method,judini-python-main\src\judini\codegpt::CodeGPTPlus,94,0,3,"class CodeGPTPlus:
    ...
    def get_documents(self) -> List[Document]:
        

        response = requests.get(f""{self.base_url}/document"", headers=self.headers)

        if response.status_code != 200:
            raise Exception(f'JUDINI: API Response was: {response.status_code}'
                            + f' {response.text} {JUDINI_TUTORIAL}')
        
        document_lists = response.json()
        return [Document(**document_dict) for document_dict in document_lists]",[],"class CodeGPTPlus:
    ...
    def get_documents(self) -> List[Document]:
            ...",judini-python-main\src\judini\codegpt.py,3,judini-python-main\src\judini\codegpt::CodeGPTPlus.get_documents
judini-python-main\src\judini\codegpt::CodeGPTPlus.update_agent_documents,python,CodeGPTPlus.update_agent_documents,method,judini-python-main\src\judini\codegpt::CodeGPTPlus,117,0,3,"class CodeGPTPlus:
    ...
    def update_agent_documents(self, agent_id: str, document_ids: List[str]) -> None:
        
        payload = json.dumps({ ""agent_documents"": document_ids})
        response = requests.patch(f""{self.base_url}/agent/{agent_id}/documents"",
                                  headers=self.headers,
                                  data=payload)
        
        if response.status_code != 200:
            raise Exception(f'JUDINI: API Response was: {response.status_code}'
                            + f' {response.text} {JUDINI_TUTORIAL}')
        
        print('Agent documents updated successfully')
        return",[],"class CodeGPTPlus:
    ...
    def update_agent_documents(self, agent_id: str, document_ids: List[str]) -> None:
            ...",judini-python-main\src\judini\codegpt.py,3,judini-python-main\src\judini\codegpt::CodeGPTPlus.update_agent_documents
