full_name,type
\CHANGELOG,file
\README,file
\examples\chat_completion::chat_example,function
\examples\chat_completion,file
\setup,file
\src\judini\__init__,file
\src\judini\codegpt::CodeGPTPlus.delete_document,method
\src\judini\codegpt::CodeGPTPlus.upload_document,method
\src\judini\codegpt::CodeGPTPlus._generate_document_metadata,method
\src\judini\codegpt::CodeGPTPlus.update_document_metadata,method
\src\judini\codegpt::CodeGPTPlus.get_document,method
\src\judini\codegpt::CodeGPTPlus.get_documents,method
\src\judini\codegpt::CodeGPTPlus.update_agent_documents,method
\src\judini\codegpt::CodeGPTPlus.delete_agent,method
\src\judini\codegpt::CodeGPTPlus.update_agent,method
\src\judini\codegpt::CodeGPTPlus.create_agent,method
\src\judini\codegpt::CodeGPTPlus.get_agent,method
\src\judini\codegpt::CodeGPTPlus.get_agents,method
\src\judini\codegpt::CodeGPTPlus.chat_completion,method
\src\judini\codegpt::CodeGPTPlus.__init__,method
\src\judini\codegpt::CodeGPTPlus,class
\src\judini\codegpt::PLAYGROUND_KEYS_URL,assignment
\src\judini\codegpt::JUDINI_TUTORIAL,assignment
\src\judini\codegpt::base_url,assignment
\src\judini\codegpt,file
\src\judini\types::Document.json_loads,method
\src\judini\types::Document,class
\src\judini\types::DocumentMetadata,class
\src\judini\types::Agent,class
\src\judini\types,file
\src\judini\utils::handle_non_stream,function
\src\judini\utils::handle_stream,function
\src\judini\utils,file
\streamlit::completion,assignment
\streamlit::enable_stream,assignment
\streamlit::AGENT_ID,assignment
\streamlit::CODEGPT_API_KEY,assignment
\streamlit,file
